"Gmt.time","Open","High","Low","Close","Volume"
"13.01.2017 14:45:00.000",1.01021,1.01155,1.01012,1.01119,3538880004.8828
"13.01.2017 15:00:00.000",1.01125,1.01213,1.01054,1.01078,4705219955.4444
"13.01.2017 15:15:00.000",1.01078,1.01184,1.01045,1.01081,3537800018.3104
"13.01.2017 15:30:00.000",1.0108,1.01102,1.00977,1.00987,2843109985.3516
"13.01.2017 15:45:00.000",1.00989,1.01074,1.00949,1.00985,3107670013.4277
"13.01.2017 16:00:00.000",1.00985,1.01027,1.00963,1.01002,2724070022.5832
"13.01.2017 16:15:00.000",1.01004,1.01082,1.00939,1.01076,2710160003.6622
"13.01.2017 16:30:00.000",1.01074,1.01083,1.00958,1.00963,2100800010.6812
"13.01.2017 16:45:00.000",1.00963,1.0099,1.00892,1.0098,1940260009.7656
"13.01.2017 17:00:00.000",1.00979,1.00999,1.00889,1.00891,1693499992.3706
"13.01.2017 17:15:00.000",1.00889,1.00902,1.008,1.008,2208090007.782
"13.01.2017 17:30:00.000",1.00801,1.00903,1.00771,1.00838,2078150009.1554
"13.01.2017 17:45:00.000",1.00838,1.00881,1.00822,1.00861,1602439987.1826
"13.01.2017 18:00:00.000",1.00861,1.00878,1.00797,1.00877,1801059989.9293
"13.01.2017 18:15:00.000",1.00876,1.00938,1.00873,1.00887,1483080001.8312
"13.01.2017 18:30:00.000",1.00888,1.00946,1.00887,1.00943,1255230007.1717
"13.01.2017 18:45:00.000",1.00944,1.00957,1.00889,1.00955,1556319993.9728
"13.01.2017 19:00:00.000",1.00953,1.00975,1.00884,1.00891,1166850006.1034
"13.01.2017 19:15:00.000",1.00889,1.00903,1.00838,1.00848,1388950008.3924
"13.01.2017 19:30:00.000",1.0085,1.00875,1.00795,1.00822,1537319995.88
"13.01.2017 19:45:00.000",1.00824,1.00913,1.00822,1.00904,1497240009.3076
"13.01.2017 20:00:00.000",1.00902,1.00916,1.00865,1.00878,1488439998.6267
"13.01.2017 20:15:00.000",1.00877,1.00898,1.00853,1.0089,1077289997.1008
"13.01.2017 20:30:00.000",1.0089,1.00928,1.0085,1.00925,1255980003.3569
"13.01.2017 20:45:00.000",1.00927,1.00942,1.00882,1.0091,1020519992.8286
"13.01.2017 21:00:00.000",1.00914,1.00947,1.00894,1.00941,447620000.8392
"13.01.2017 21:15:00.000",1.00949,1.00949,1.00888,1.0089,401070000.6486
"13.01.2017 21:30:00.000",1.0089,1.00894,1.00854,1.00869,300689999.5804
"13.01.2017 21:45:00.000",1.00871,1.00907,1.00816,1.00816,948209997.1772
"15.01.2017 22:00:00.000",1.00939,1.01005,1.009,1.00939,504340003.9672
"15.01.2017 22:15:00.000",1.00941,1.0107,1.00933,1.0107,441640002.7275
"15.01.2017 22:30:00.000",1.01065,1.01084,1.00993,1.0102,1145660002.7086
